patient_id,failed_login_rate,request_rate,total_records_accessed,unique_endpoints,endpoint_discovery_count,suspicious_download_count,data_export_count,privilege_escalation_count,device_change_count,night_activity_count,error_rate,anomalous_event_count,unique_sessions,unique_devices,average_response_time_ms,behavior_class,is_anomalous
TRAIN_P2378,0.5535,0.0553,166,10,0,0,0,0,0,33,0.3936,11,6,1,562.23,BRUTE_FORCE,1
TRAIN_P1232,0.0587,0.0131,219,6,0,0,0,0,0,24,0.0222,0,5,1,347.21,NORMAL,0
TRAIN_P0440,0.0522,0.022,209,10,0,0,0,0,0,26,0.0144,0,3,1,436.56,NORMAL,0
TRAIN_P0416,0.0348,0.0167,142,11,0,0,0,0,0,30,0.0155,0,5,1,396.82,NORMAL,0
TRAIN_P0671,0.0173,0.0229,248,8,0,0,0,0,0,29,0.0127,0,5,1,396.9,NORMAL,0
TRAIN_P2844,0.0651,0.0991,2847,13,0,1,0,0,0,33,0.0469,11,11,3,742.18,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P3020,0.0529,0.0758,2382,10,4,1,1,0,0,68,0.0553,16,8,3,388.72,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P0812,0.0404,0.0266,158,10,0,0,0,0,0,21,0.0127,0,3,1,339.84,NORMAL,0
TRAIN_P2358,0.5185,0.0782,212,12,0,0,0,0,0,40,0.215,3,2,2,386.19,BRUTE_FORCE,1
TRAIN_P0180,0.0417,0.016,116,9,0,0,0,0,0,30,0.0075,0,5,1,444.27,NORMAL,0
TRAIN_P2763,0.059,0.0607,2198,13,2,1,0,0,1,62,0.0149,11,6,2,672.33,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2989,0.072,0.0734,1710,14,2,1,0,0,1,59,0.0495,21,6,2,626.76,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2457,0.059,0.0346,280,11,7,0,0,0,2,66,0.0857,9,7,2,555.05,RECONNAISSANCE,1
TRAIN_P1227,0.0678,0.0182,210,9,0,0,0,0,0,24,0.014,0,4,1,318.27,NORMAL,0
TRAIN_P1000,0.0255,0.017,40,9,0,0,0,0,0,26,0.0158,0,4,1,392.37,NORMAL,0
TRAIN_P0818,0.0259,0.0187,90,9,0,0,0,0,0,31,0.0154,1,1,1,390.16,NORMAL,0
TRAIN_P0928,0.0502,0.0249,205,11,0,0,0,0,0,31,0.0083,0,3,1,452.55,NORMAL,0
TRAIN_P2697,0.1026,0.0527,392,19,10,0,0,0,0,54,0.1076,10,5,1,589.69,RECONNAISSANCE,1
TRAIN_P3034,0.063,0.089,1941,14,1,2,0,0,1,42,0.0347,14,7,3,569.42,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2956,0.0598,0.0825,2045,10,2,0,1,0,0,83,0.0445,18,5,3,555.49,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P0121,0.0471,0.0145,165,8,0,0,0,0,0,17,0.0105,0,3,1,409.39,NORMAL,0
TRAIN_P1787,0.0302,0.0136,185,9,0,0,0,0,0,25,0.019,0,3,1,458.16,NORMAL,0
TRAIN_P1404,0.0298,0.021,186,9,0,0,0,0,0,31,0.0063,0,2,1,492.93,NORMAL,0
TRAIN_P0388,0.0342,0.017,94,10,1,0,0,0,0,14,0.0189,0,3,1,414.76,NORMAL,0
TRAIN_P1511,0.0384,0.0231,150,4,0,0,0,0,0,29,0.0007,0,3,1,247.88,NORMAL,0
TRAIN_P2105,0.0487,0.0226,149,9,1,0,0,0,0,41,0.0102,0,4,2,466.9,NORMAL,0
TRAIN_P2963,0.0303,0.0573,2380,13,4,2,0,0,1,67,0.0308,10,8,3,481.38,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1958,0.0346,0.0127,206,10,0,1,0,0,0,20,0.0133,0,5,1,234.92,NORMAL,0
TRAIN_P0843,0.0266,0.0252,147,7,0,0,0,0,0,20,0.0176,0,2,2,290.06,NORMAL,0
TRAIN_P0185,0.0194,0.0132,89,10,0,0,0,0,0,20,0.0065,0,3,1,366.93,NORMAL,0
TRAIN_P0496,0.032,0.0246,132,11,0,0,0,0,0,32,0.0181,0,2,1,322.32,NORMAL,0
TRAIN_P2212,0.424,0.0828,189,12,0,0,0,0,0,44,0.3321,14,4,1,488.3,BRUTE_FORCE,1
TRAIN_P3202,0.1098,0.1095,3459,11,1,5,7,0,1,64,0.0539,38,8,3,485.51,DATA_EXFILTRATION,1
TRAIN_P0927,0.0262,0.0197,160,7,1,0,0,0,0,16,0.0163,0,4,1,400.07,NORMAL,0
TRAIN_P0462,0.0734,0.0155,170,8,0,0,0,0,0,31,0.0056,0,3,1,418.89,NORMAL,0
TRAIN_P0034,0.07,0.0204,215,6,1,0,0,0,0,11,0.0147,0,3,1,412.25,NORMAL,0
TRAIN_P1794,0.0426,0.0177,180,8,0,0,0,0,1,30,0.01,0,3,1,350.98,NORMAL,0
TRAIN_P0290,0.0126,0.0137,41,10,1,0,0,0,0,26,0.0122,0,2,1,237.09,NORMAL,0
TRAIN_P2590,0.1,0.0538,236,18,5,1,1,0,1,56,0.1139,9,4,2,291.9,RECONNAISSANCE,1
TRAIN_P1540,0.0553,0.0203,112,10,1,0,0,0,0,17,0.0138,0,4,1,442.87,NORMAL,0
TRAIN_P0645,0.0434,0.0229,104,7,0,0,0,0,0,25,0.0087,0,2,1,470.85,NORMAL,0
TRAIN_P0094,0.0641,0.0219,138,9,0,0,0,0,0,22,0.0188,0,3,1,451.59,NORMAL,0
TRAIN_P0970,0.0634,0.0249,162,9,0,0,0,0,0,12,0.017,0,2,1,464.56,NORMAL,0
TRAIN_P1555,0.0283,0.0148,170,8,0,0,0,0,0,42,0.016,0,5,1,462.37,NORMAL,0
TRAIN_P1175,0.0466,0.0198,109,7,0,0,0,0,0,13,0.0188,0,4,1,528.95,NORMAL,0
TRAIN_P2576,0.0606,0.0572,319,15,13,0,0,0,1,64,0.0657,8,4,2,638.37,RECONNAISSANCE,1
TRAIN_P3154,0.1003,0.136,2504,14,3,9,8,0,3,61,0.052,34,10,2,490.4,DATA_EXFILTRATION,1
TRAIN_P0804,0.0387,0.0211,214,11,0,0,0,0,0,23,0.0164,0,4,1,419.85,NORMAL,0
TRAIN_P1475,0.0255,0.0198,122,9,0,0,0,0,0,24,0.0129,1,3,1,467.5,NORMAL,0
TRAIN_P0603,0.051,0.0167,109,8,0,0,0,0,0,12,0.0216,0,4,1,393.32,NORMAL,0
TRAIN_P1965,0.0419,0.0176,142,6,0,0,0,0,0,35,0.0089,0,4,2,254.19,NORMAL,0
TRAIN_P2729,0.094,0.0553,266,14,10,0,0,0,1,39,0.0762,13,6,2,482.14,RECONNAISSANCE,1
TRAIN_P1337,0.0223,0.0208,127,10,0,0,0,0,0,34,0.0189,0,2,1,292.32,NORMAL,0
TRAIN_P0949,0.0509,0.0266,150,7,0,0,0,0,1,28,0.009,0,5,1,440.71,NORMAL,0
TRAIN_P3177,0.0625,0.1058,3145,16,4,15,7,0,5,75,0.0311,27,9,4,627.76,DATA_EXFILTRATION,1
TRAIN_P0803,0.0778,0.0152,159,7,2,0,0,0,0,25,0.0124,0,5,1,327.47,NORMAL,0
TRAIN_P1766,0.0542,0.0241,141,10,0,0,1,0,1,19,0.0172,0,4,1,406.91,NORMAL,0
TRAIN_P0071,0.0338,0.0211,159,11,1,0,0,0,0,21,0.016,0,3,1,393.97,NORMAL,0
TRAIN_P0444,0.021,0.0183,109,9,1,0,0,0,0,35,0.0125,0,3,1,319.41,NORMAL,0
TRAIN_P2330,0.5292,0.0791,190,6,1,1,0,0,1,39,0.2855,9,6,1,484.34,BRUTE_FORCE,1
TRAIN_P2454,0.0721,0.0907,392,16,6,0,0,0,1,24,0.0692,10,5,3,420.84,RECONNAISSANCE,1
TRAIN_P1068,0.0456,0.0219,160,8,0,0,0,0,1,33,0.0191,0,4,1,437.84,NORMAL,0
TRAIN_P2637,0.0612,0.076,363,13,7,0,0,0,0,58,0.0977,8,6,2,460.48,RECONNAISSANCE,1
TRAIN_P2773,0.0343,0.0582,3115,11,3,0,1,0,1,58,0.0593,20,5,3,870.24,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2335,0.5243,0.0514,144,11,0,0,0,0,0,36,0.2781,5,4,2,431.05,BRUTE_FORCE,1
TRAIN_P2283,0.5727,0.0988,234,9,0,0,0,0,0,49,0.3373,13,5,2,303.79,BRUTE_FORCE,1
TRAIN_P1415,0.0016,0.0091,102,10,0,0,0,0,0,28,0.0177,0,2,1,354.05,NORMAL,0
TRAIN_P0606,0.0559,0.0282,63,8,0,0,0,0,0,24,0.0079,0,7,1,242.08,NORMAL,0
TRAIN_P0292,0.0257,0.0226,162,9,0,0,0,0,0,36,0.0076,0,3,1,343.7,NORMAL,0
TRAIN_P0565,0.0142,0.018,150,9,0,0,0,0,0,33,0.0036,0,2,1,379.3,NORMAL,0
TRAIN_P2568,0.071,0.0404,344,15,9,1,0,0,1,49,0.1538,8,4,2,387.08,RECONNAISSANCE,1
TRAIN_P3582,0.0908,0.0679,1418,15,3,2,0,6,4,51,0.0296,31,8,3,808.0,PRIVILEGE_ABUSE,1
TRAIN_P1107,0.051,0.0236,163,8,0,0,0,0,0,11,0.0141,0,4,1,394.2,NORMAL,0
TRAIN_P2385,0.4374,0.0608,219,12,0,0,0,0,0,33,0.2535,7,9,1,457.66,BRUTE_FORCE,1
TRAIN_P0552,0.036,0.0222,164,9,1,0,0,0,0,9,0.0188,0,5,1,411.92,NORMAL,0
TRAIN_P1237,0.0604,0.017,148,7,0,0,0,0,0,24,0.0072,0,4,1,277.01,NORMAL,0
TRAIN_P1573,0.0508,0.02,78,9,0,0,0,0,0,31,0.0196,0,4,1,492.09,NORMAL,0
TRAIN_P1996,0.0208,0.0157,125,10,0,0,0,0,0,43,0.0093,0,2,1,349.0,NORMAL,0
TRAIN_P1427,0.0319,0.023,196,9,1,0,0,0,0,18,0.0102,0,2,2,286.52,NORMAL,0
TRAIN_P0197,0.0435,0.0208,134,11,0,0,0,0,0,16,0.0187,0,5,1,453.48,NORMAL,0
TRAIN_P3263,0.0659,0.1393,3091,14,1,13,3,0,4,52,0.0375,12,11,3,850.13,DATA_EXFILTRATION,1
TRAIN_P1054,0.0402,0.0202,129,6,0,0,0,0,0,20,0.0233,0,4,2,420.43,NORMAL,0
TRAIN_P0890,0.0396,0.0127,105,6,0,0,0,0,0,37,0.0147,0,2,1,427.44,NORMAL,0
TRAIN_P2865,0.0557,0.0786,2588,13,3,1,0,0,1,44,0.0,17,4,2,543.94,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P3200,0.0403,0.0843,3260,12,0,10,5,0,1,79,0.0573,29,7,4,571.43,DATA_EXFILTRATION,1
TRAIN_P0412,0.0237,0.018,174,6,0,0,0,0,0,18,0.0208,0,5,1,336.17,NORMAL,0
TRAIN_P0150,0.0715,0.0213,141,10,0,0,0,0,0,14,0.0107,1,1,1,439.83,NORMAL,0
TRAIN_P0938,0.0604,0.0177,193,10,0,0,0,0,0,14,0.023,1,2,1,370.32,NORMAL,0
TRAIN_P2226,0.4487,0.0691,161,8,2,0,0,0,1,36,0.3601,11,7,1,451.33,BRUTE_FORCE,1
TRAIN_P0315,0.0737,0.0292,100,7,0,0,0,0,0,27,0.0201,0,5,1,266.7,NORMAL,0
TRAIN_P2504,0.0953,0.0375,386,12,7,0,0,0,0,57,0.0988,8,6,2,413.05,RECONNAISSANCE,1
TRAIN_P2270,0.45,0.0656,116,11,0,0,0,0,0,43,0.368,12,5,1,610.26,BRUTE_FORCE,1
TRAIN_P1897,0.0286,0.0241,191,9,0,0,0,0,0,5,0.0151,0,3,1,227.94,NORMAL,0
TRAIN_P1814,0.0296,0.0252,115,8,0,0,0,0,0,20,0.0092,0,6,1,269.86,NORMAL,0
TRAIN_P1299,0.0449,0.0252,154,9,0,0,0,0,0,25,0.0141,0,2,1,342.39,NORMAL,0
TRAIN_P2148,0.0462,0.0193,154,7,0,0,0,0,0,15,0.0148,0,4,1,450.53,NORMAL,0
TRAIN_P3425,0.1389,0.0848,1444,15,5,0,1,6,3,61,0.1064,24,9,3,566.36,PRIVILEGE_ABUSE,1
TRAIN_P3223,0.0593,0.069,3141,18,1,11,6,0,2,54,0.0343,28,7,4,666.52,DATA_EXFILTRATION,1
TRAIN_P3533,0.0678,0.0689,1550,15,3,2,1,8,4,43,0.1433,17,8,4,848.48,PRIVILEGE_ABUSE,1
TRAIN_P0300,0.012,0.0266,161,7,0,0,0,0,0,18,0.0099,0,5,1,446.26,NORMAL,0
TRAIN_P1109,0.026,0.0196,168,10,0,0,0,0,0,27,0.0131,0,3,1,412.07,NORMAL,0
TRAIN_P1771,0.079,0.0203,195,4,0,0,0,0,0,23,0.0172,0,3,1,271.13,NORMAL,0
TRAIN_P0806,0.0208,0.0168,179,10,0,0,0,0,1,20,0.012,0,3,1,311.16,NORMAL,0
TRAIN_P2986,0.0919,0.1058,2032,12,2,1,1,0,3,49,0.0588,23,6,2,765.01,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P0184,0.0304,0.0157,177,8,0,0,0,0,0,34,0.0163,0,4,1,328.82,NORMAL,0
TRAIN_P3328,0.07,0.1105,3263,14,1,14,5,0,3,79,0.039,33,8,4,688.94,DATA_EXFILTRATION,1
TRAIN_P1026,0.0891,0.0252,188,9,1,0,0,0,0,35,0.0294,0,4,1,259.67,NORMAL,0
TRAIN_P2190,0.6292,0.0851,216,11,0,0,0,0,0,30,0.3361,12,6,1,633.86,BRUTE_FORCE,1
TRAIN_P0882,0.0159,0.0253,83,10,0,0,0,0,0,14,0.0221,0,4,1,322.05,NORMAL,0
TRAIN_P2794,0.0675,0.088,2586,11,1,1,0,0,1,44,0.0573,19,7,3,574.92,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2845,0.0606,0.095,2421,15,0,1,1,0,1,50,0.0355,19,9,2,375.79,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1377,0.0417,0.0189,170,9,0,0,0,0,0,30,0.013,0,6,1,331.52,NORMAL,0
TRAIN_P1172,0.0404,0.0259,120,10,0,0,0,0,0,26,0.016,0,3,1,341.57,NORMAL,0
TRAIN_P3424,0.0795,0.0767,2042,17,3,1,1,8,3,29,0.0776,14,13,2,517.04,PRIVILEGE_ABUSE,1
TRAIN_P0052,0.0349,0.0275,43,10,0,0,0,0,0,13,0.0111,0,3,1,374.43,NORMAL,0
TRAIN_P0352,0.0121,0.0253,102,9,0,0,0,0,0,28,0.0121,0,2,1,434.04,NORMAL,0
TRAIN_P1878,0.0419,0.0132,249,9,0,0,0,0,0,18,0.0165,0,5,1,389.44,NORMAL,0
TRAIN_P0863,0.0609,0.0169,159,6,0,0,0,0,0,34,0.0237,0,4,1,230.01,NORMAL,0
TRAIN_P0535,0.0365,0.0178,167,7,0,0,0,0,0,28,0.0091,0,1,1,443.87,NORMAL,0
TRAIN_P2894,0.042,0.0671,2217,9,3,1,0,0,0,74,0.0118,11,8,3,506.31,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2828,0.0616,0.0947,2275,12,3,2,0,0,1,70,0.041,16,5,3,522.24,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2919,0.0275,0.0652,1707,11,2,0,1,0,3,57,0.0383,22,4,2,507.38,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1045,0.0469,0.022,99,10,0,0,0,0,0,35,0.0147,0,4,1,589.38,NORMAL,0
TRAIN_P3352,0.1757,0.0789,916,14,3,2,1,5,2,42,0.0733,17,3,3,478.73,PRIVILEGE_ABUSE,1
TRAIN_P0171,0.0362,0.0182,142,11,0,0,0,0,0,13,0.0137,0,4,1,409.69,NORMAL,0
TRAIN_P0140,0.0099,0.0238,153,6,0,0,0,0,0,22,0.0112,0,4,1,598.47,NORMAL,0
TRAIN_P1214,0.0,0.0211,119,9,0,0,0,0,0,11,0.0241,0,4,1,449.07,NORMAL,0
TRAIN_P2114,0.0223,0.0222,166,8,0,0,0,0,0,15,0.0162,0,3,1,180.0,NORMAL,0
TRAIN_P3307,0.063,0.1081,3465,15,2,17,6,0,4,58,0.0302,42,11,2,590.49,DATA_EXFILTRATION,1
TRAIN_P0280,0.0505,0.0108,87,11,0,0,0,0,0,13,0.0155,0,5,1,348.3,NORMAL,0
TRAIN_P1981,0.0252,0.018,137,4,0,0,0,0,0,21,0.0094,0,3,1,394.47,NORMAL,0
TRAIN_P2900,0.0445,0.0951,1697,11,2,0,0,0,1,27,0.0699,18,7,3,698.66,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2375,0.5647,0.0574,217,9,1,1,0,0,0,31,0.2932,13,3,1,413.57,BRUTE_FORCE,1
TRAIN_P1065,0.0582,0.0255,123,10,0,0,0,0,0,18,0.0165,0,5,1,482.55,NORMAL,0
TRAIN_P0568,0.0467,0.0163,192,10,0,0,0,0,0,30,0.0241,1,6,1,283.22,NORMAL,0
TRAIN_P1481,0.0272,0.0084,173,9,0,0,0,0,0,35,0.0081,0,3,2,323.17,NORMAL,0
TRAIN_P2997,0.0467,0.091,1994,12,4,1,1,0,1,48,0.0426,21,3,3,467.22,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P3115,0.0711,0.0999,2195,13,1,19,6,0,4,78,0.0212,36,6,3,476.8,DATA_EXFILTRATION,1
TRAIN_P1609,0.0101,0.0223,174,10,0,0,0,0,0,36,0.0245,0,3,1,542.33,NORMAL,0
TRAIN_P2727,0.1125,0.0517,274,13,8,1,0,0,1,68,0.172,11,6,1,670.93,RECONNAISSANCE,1
TRAIN_P0965,0.0233,0.0107,213,7,1,0,0,0,0,20,0.0159,0,3,1,336.51,NORMAL,0
TRAIN_P1937,0.0753,0.0224,127,8,0,0,0,0,0,13,0.008,0,5,1,290.18,NORMAL,0
TRAIN_P1392,0.0158,0.0194,89,8,0,0,0,0,0,19,0.0165,0,3,1,568.79,NORMAL,0
TRAIN_P2397,0.6395,0.0633,256,10,0,0,0,0,0,34,0.2614,10,4,1,431.44,BRUTE_FORCE,1
TRAIN_P2222,0.5804,0.0911,208,9,0,0,0,0,0,57,0.2776,18,3,1,498.15,BRUTE_FORCE,1
TRAIN_P3557,0.1714,0.08,1992,13,2,1,1,6,2,70,0.0442,23,9,6,482.23,PRIVILEGE_ABUSE,1
TRAIN_P3215,0.0693,0.1466,2858,14,1,9,5,0,2,72,0.031,33,3,3,514.39,DATA_EXFILTRATION,1
TRAIN_P3193,0.0593,0.0933,2219,14,0,12,5,0,1,79,0.0401,26,7,2,679.01,DATA_EXFILTRATION,1
TRAIN_P2149,0.0385,0.0114,173,8,1,0,0,0,0,14,0.0124,0,4,1,521.77,NORMAL,0
TRAIN_P1489,0.0617,0.0153,102,13,0,0,0,0,0,13,0.0158,0,5,1,397.17,NORMAL,0
TRAIN_P2737,0.1165,0.089,2375,12,2,2,1,0,2,63,0.0491,23,8,3,801.39,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2930,0.0695,0.0808,2490,11,4,0,0,0,1,30,0.0458,17,8,4,618.95,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1719,0.0215,0.0244,214,8,0,0,0,0,0,13,0.0194,0,4,1,328.14,NORMAL,0
TRAIN_P1158,0.052,0.0264,144,7,0,0,0,0,1,19,0.006,0,3,1,389.34,NORMAL,0
TRAIN_P1954,0.0171,0.0345,114,8,0,0,0,0,0,26,0.0164,0,4,1,342.32,NORMAL,0
TRAIN_P3199,0.0689,0.1365,2891,13,2,15,11,0,5,58,0.0371,39,7,2,800.34,DATA_EXFILTRATION,1
TRAIN_P2906,0.0622,0.0483,2530,9,4,0,1,0,1,42,0.0404,19,7,3,662.92,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2563,0.0588,0.0385,174,15,4,0,0,0,1,45,0.0521,14,5,2,644.41,RECONNAISSANCE,1
TRAIN_P1789,0.0634,0.0139,128,5,0,0,0,0,0,15,0.0171,0,4,1,455.9,NORMAL,0
TRAIN_P0439,0.0419,0.0148,140,10,0,0,0,0,0,24,0.0159,0,2,1,418.13,NORMAL,0
TRAIN_P2612,0.0637,0.0718,328,14,10,0,0,0,1,65,0.1038,10,5,3,494.26,RECONNAISSANCE,1
TRAIN_P0753,0.0625,0.0234,157,11,0,0,0,0,0,35,0.0157,1,5,1,340.78,NORMAL,0
TRAIN_P2714,0.0749,0.0698,315,21,5,1,0,0,0,64,0.1147,10,5,2,408.64,RECONNAISSANCE,1
TRAIN_P1398,0.0712,0.0143,159,8,0,0,0,0,0,34,0.0173,0,4,1,343.21,NORMAL,0
TRAIN_P3357,0.0859,0.0921,1890,17,4,2,0,6,3,67,0.0499,20,11,3,548.4,PRIVILEGE_ABUSE,1
TRAIN_P1883,0.0433,0.0172,155,6,0,0,0,0,1,28,0.0225,0,5,1,348.36,NORMAL,0
TRAIN_P2961,0.0609,0.0842,1956,14,3,0,0,0,3,79,0.0173,12,6,2,781.73,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P2322,0.5077,0.065,243,8,0,0,0,0,0,37,0.3226,11,6,1,466.12,BRUTE_FORCE,1
TRAIN_P1830,0.0549,0.0255,172,4,0,0,0,0,0,18,0.0082,0,3,1,347.83,NORMAL,0
TRAIN_P1638,0.0771,0.0128,221,9,0,0,0,0,0,17,0.0172,0,5,1,486.04,NORMAL,0
TRAIN_P0409,0.0245,0.0241,116,9,0,0,0,0,0,21,0.0023,0,3,1,413.27,NORMAL,0
TRAIN_P3336,0.048,0.1272,3024,10,2,13,4,0,3,53,0.0223,15,8,1,721.42,DATA_EXFILTRATION,1
TRAIN_P0053,0.0587,0.0264,178,7,0,0,0,0,0,15,0.0186,0,4,1,304.77,NORMAL,0
TRAIN_P0950,0.047,0.0216,141,8,0,0,0,0,0,11,0.0078,0,3,1,374.21,NORMAL,0
TRAIN_P1875,0.0698,0.0209,173,10,0,0,0,0,1,24,0.0189,0,5,1,424.8,NORMAL,0
TRAIN_P2781,0.0284,0.0653,2316,20,2,0,0,0,1,39,0.0397,17,4,3,617.79,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P0394,0.0,0.0302,156,9,0,0,0,0,0,43,0.0088,0,4,1,279.04,NORMAL,0
TRAIN_P0677,0.0439,0.0089,159,9,0,0,0,0,0,23,0.0184,1,3,1,452.46,NORMAL,0
TRAIN_P1792,0.0318,0.0162,148,7,0,0,0,0,0,38,0.0162,0,6,2,270.75,NORMAL,0
TRAIN_P3018,0.0453,0.0831,2670,13,0,3,1,0,3,46,0.026,15,11,2,572.36,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1463,0.0632,0.0177,224,7,0,0,0,0,0,32,0.0242,1,4,1,395.57,NORMAL,0
TRAIN_P1222,0.0461,0.0171,122,8,0,0,0,0,0,22,0.0185,0,5,1,423.42,NORMAL,0
TRAIN_P1584,0.0383,0.0121,117,9,0,0,0,0,0,36,0.0186,0,3,1,319.96,NORMAL,0
TRAIN_P0145,0.029,0.0205,156,7,0,0,0,0,0,19,0.0239,0,2,1,292.43,NORMAL,0
TRAIN_P1174,0.0403,0.0318,180,5,0,0,0,0,0,26,0.0085,0,4,2,474.5,NORMAL,0
TRAIN_P3471,0.0657,0.0654,1498,11,4,1,2,4,3,37,0.0685,26,9,2,365.07,PRIVILEGE_ABUSE,1
TRAIN_P2652,0.0805,0.0699,444,21,9,0,0,0,1,38,0.1196,9,4,2,535.29,RECONNAISSANCE,1
TRAIN_P0077,0.0474,0.0224,149,8,0,0,0,0,0,44,0.0149,0,3,1,382.15,NORMAL,0
TRAIN_P1111,0.0083,0.0271,156,8,0,0,0,0,0,23,0.0214,0,3,1,273.9,NORMAL,0
TRAIN_P0252,0.0615,0.0216,138,5,1,0,0,0,0,23,0.0134,0,2,1,532.91,NORMAL,0
TRAIN_P2316,0.6574,0.0711,169,9,0,0,0,0,0,22,0.2925,14,5,1,371.07,BRUTE_FORCE,1
TRAIN_P0018,0.0317,0.0204,114,8,0,0,0,0,0,44,0.0242,0,1,1,394.92,NORMAL,0
TRAIN_P0299,0.0481,0.0173,202,8,0,0,0,0,0,27,0.0193,0,3,1,337.74,NORMAL,0
TRAIN_P2237,0.6591,0.076,142,9,0,0,0,0,0,42,0.2746,13,6,1,482.68,BRUTE_FORCE,1
TRAIN_P2823,0.0507,0.081,3127,12,2,0,1,0,1,56,0.0467,13,10,4,849.72,SUSPICIOUS_DATA_ACCESS,1
TRAIN_P1765,0.0593,0.0207,180,9,0,0,0,0,0,15,0.0182,0,1,1,294.79,NORMAL,0
TRAIN_P1739,0.0246,0.0099,154,9,0,0,0,0,0,19,0.0111,0,3,1,433.95,NORMAL,0
TRAIN_P0558,0.0495,0.0235,131,8,0,0,0,0,0,24,0.0131,0,4,1,429.99,NORMAL,0
