failed_logins,requests_per_minute,records_accessed,unique_endpoints,session_duration_min,device_changes,error_rate,unusual_access_time,endpoint_enumeration,attack_label
0,15,1,3,30,0,0.05,0,0,benign
0,11,2,2,28,1,0.004,0,0,benign
33,34,11,7,13,1,0.448,1,1,brute_force
7,363,180,27,5,2,0.312,1,1,suspicious_data_access
1,16,2,5,10,0,0.009,0,0,benign
8,109,15,21,17,1,0.177,0,1,reconnaissance
0,11,1,2,49,0,0.012,0,0,benign
0,20,2,6,27,0,0.002,0,0,benign
0,8,1,4,35,1,0.007,0,0,benign
8,190,16,13,10,1,0.232,0,1,reconnaissance
2,10,4,3,15,0,0.015,0,0,benign
0,9,3,6,47,0,0.025,0,0,benign
19,197,146,18,2,2,0.146,1,1,suspicious_data_access
0,11,4,3,41,0,0.001,0,0,benign
0,18,3,2,34,0,0.02,0,0,benign
22,40,17,6,10,1,0.28,1,0,brute_force
4,306,105,21,6,2,0.347,0,1,suspicious_data_access
1,12,1,2,29,1,0.004,0,0,benign
0,7,3,5,42,0,0.028,0,0,benign
0,11,2,5,40,0,0.036,0,0,benign
9,94,33,15,9,1,0.205,0,1,reconnaissance
1,18,4,3,41,0,0.006,0,0,benign
35,36,12,9,8,1,0.419,1,0,brute_force
5,105,21,14,16,2,0.216,1,1,reconnaissance
9,150,17,18,19,1,0.181,0,1,reconnaissance
11,175,21,28,10,1,0.179,0,1,reconnaissance
0,3,5,5,34,0,0.06,0,0,benign
8,140,11,10,10,2,0.169,0,1,reconnaissance
12,315,76,33,5,2,0.266,1,1,suspicious_data_access
13,184,102,27,6,4,0.166,1,1,suspicious_data_access
14,275,119,33,7,3,0.183,1,1,suspicious_data_access
0,6,2,4,35,0,0.01,0,0,benign
0,12,5,4,41,0,0.06,0,0,benign
2,21,5,5,13,0,0.005,0,0,benign
0,16,1,5,30,0,0.018,0,0,benign
38,49,10,8,9,1,0.516,0,0,brute_force
0,14,1,2,34,0,0.023,0,0,benign
13,225,118,27,3,2,0.161,1,1,suspicious_data_access
0,8,3,2,21,0,0.018,0,0,benign
4,91,30,16,18,2,0.173,0,1,reconnaissance
1,12,1,3,41,0,0.004,0,0,benign
22,61,12,8,11,2,0.361,1,0,brute_force
35,47,8,6,3,1,0.478,1,0,brute_force
0,9,3,4,39,0,0.0,0,0,benign
1,4,3,7,41,0,0.004,0,0,benign
10,357,78,40,5,3,0.282,1,1,suspicious_data_access
0,17,1,1,33,0,0.017,0,0,benign
0,17,2,4,52,0,0.014,0,0,benign
16,162,23,22,10,1,0.219,0,1,reconnaissance
0,4,4,2,16,0,0.027,0,0,benign
0,9,2,2,29,0,0.039,0,0,benign
42,60,9,6,7,1,0.551,1,0,brute_force
58,72,4,6,8,0,0.586,1,1,brute_force
71,47,5,5,8,1,0.583,1,0,brute_force
0,12,1,3,26,0,0.016,0,0,benign
9,331,57,26,4,3,0.273,1,1,suspicious_data_access
0,4,1,5,41,1,0.002,0,0,benign
0,21,3,4,36,0,0.006,0,0,benign
2,14,2,4,35,1,0.008,1,0,benign
7,91,32,10,5,1,0.122,0,1,reconnaissance
4,338,120,29,6,3,0.291,1,1,suspicious_data_access
0,16,3,4,43,0,0.002,0,0,benign
10,98,17,16,17,2,0.173,1,1,reconnaissance
59,47,5,7,8,1,0.678,1,1,brute_force
14,126,26,19,9,2,0.195,1,1,reconnaissance
0,7,1,5,20,0,0.009,0,0,benign
1,12,3,4,28,0,0.006,0,0,benign
0,8,5,4,37,0,0.014,0,0,benign
71,55,14,8,4,1,0.48,1,0,brute_force
13,289,152,21,3,3,0.273,0,1,suspicious_data_access
0,22,4,3,10,0,0.002,0,0,benign
45,25,8,3,12,1,0.408,1,0,brute_force
0,6,2,3,29,0,0.011,0,0,benign
11,117,23,14,14,1,0.235,0,1,reconnaissance
0,9,1,1,26,0,0.02,0,0,benign
6,110,44,10,12,1,0.109,1,1,reconnaissance
11,109,11,17,10,1,0.166,0,1,reconnaissance
4,318,83,24,7,2,0.45,1,1,suspicious_data_access
16,308,96,29,6,3,0.277,1,1,suspicious_data_access
13,251,74,28,2,2,0.205,1,1,suspicious_data_access
10,184,23,10,18,1,0.105,1,1,reconnaissance
1,10,1,6,31,0,0.024,0,0,benign
42,84,12,8,3,0,0.456,1,0,brute_force
30,75,10,5,3,2,0.574,1,0,brute_force
0,15,4,3,25,1,0.003,0,0,benign
1,17,2,1,10,0,0.019,0,0,benign
6,103,18,15,5,1,0.199,1,1,reconnaissance
15,319,51,26,5,4,0.12,1,1,suspicious_data_access
24,36,4,6,3,2,0.307,0,0,brute_force
59,64,15,5,8,0,0.551,1,1,brute_force
1,13,3,2,23,0,0.018,0,0,benign
1,19,1,3,27,1,0.003,1,0,benign
33,38,12,5,11,1,0.691,0,0,brute_force
2,17,1,4,27,0,0.001,0,0,benign
46,66,9,6,3,0,0.702,1,0,brute_force
0,16,1,2,34,0,0.003,0,0,benign
15,288,83,31,5,3,0.293,1,1,suspicious_data_access
10,86,20,17,20,1,0.205,0,1,reconnaissance
52,68,10,4,5,1,0.413,1,0,brute_force
15,127,12,15,10,2,0.178,1,1,reconnaissance
7,137,25,23,13,1,0.279,0,1,reconnaissance
0,9,2,3,40,0,0.01,0,0,benign
0,13,5,3,11,0,0.014,0,0,benign
12,275,84,33,4,3,0.286,1,1,suspicious_data_access
2,15,5,5,28,0,0.001,0,0,benign
0,3,1,4,35,0,0.014,0,0,benign
9,103,8,19,14,1,0.104,1,1,reconnaissance
36,47,8,6,8,1,0.515,1,0,brute_force
0,10,3,4,33,0,0.021,0,0,benign
0,9,2,5,13,0,0.002,1,0,benign
0,12,3,1,40,0,0.007,0,0,benign
44,36,8,9,6,1,0.392,0,0,brute_force
0,11,2,5,29,0,0.017,0,0,benign
2,10,1,5,19,0,0.02,1,0,benign
0,6,2,3,40,0,0.034,0,0,benign
1,4,6,3,47,0,0.035,0,0,benign
0,14,3,4,33,0,0.007,0,0,benign
13,274,117,25,7,4,0.369,1,1,suspicious_data_access
53,42,6,8,7,1,0.527,1,0,brute_force
0,10,2,4,40,0,0.007,0,0,benign
0,19,4,6,25,0,0.004,0,0,benign
0,7,2,6,25,0,0.001,0,0,benign
12,127,24,14,14,1,0.139,0,1,reconnaissance
0,20,4,4,26,0,0.016,0,0,benign
0,15,2,3,11,0,0.018,0,0,benign
11,156,20,10,14,1,0.218,0,1,reconnaissance
22,50,9,8,7,2,0.586,1,1,brute_force
1,11,3,3,10,0,0.016,0,0,benign
0,12,3,4,13,0,0.024,0,0,benign
0,5,1,3,21,0,0.022,1,0,benign
11,238,114,38,4,2,0.292,1,1,suspicious_data_access
10,145,36,16,10,2,0.122,1,1,reconnaissance
12,121,22,15,10,1,0.218,0,1,reconnaissance
9,160,16,22,18,2,0.141,0,1,reconnaissance
6,137,20,17,14,2,0.21,1,1,reconnaissance
5,381,81,27,3,4,0.221,1,1,suspicious_data_access
0,21,3,3,32,0,0.012,0,0,benign
0,10,2,2,35,0,0.0,0,0,benign
11,137,8,28,11,2,0.133,1,1,reconnaissance
6,345,104,21,2,2,0.278,1,1,suspicious_data_access
8,130,11,17,19,2,0.201,1,1,reconnaissance
0,11,1,2,34,0,0.003,0,0,benign
0,18,4,4,29,1,0.019,0,0,benign
0,15,3,4,17,0,0.06,0,0,benign
0,8,5,2,10,0,0.017,0,0,benign
0,4,3,7,28,1,0.007,0,0,benign
5,138,17,21,19,1,0.161,1,1,reconnaissance
0,16,1,3,17,0,0.009,1,0,benign
0,10,4,4,14,0,0.012,0,0,benign
39,38,4,7,8,2,0.36,1,0,brute_force
18,196,95,30,8,2,0.353,1,1,suspicious_data_access
0,12,2,2,33,1,0.011,0,0,benign
0,12,1,3,22,0,0.001,0,0,benign
13,122,9,18,15,1,0.215,1,1,reconnaissance
10,330,116,35,5,2,0.179,1,1,suspicious_data_access
7,68,33,18,12,1,0.16,0,1,reconnaissance
3,132,25,10,15,1,0.159,1,1,reconnaissance
41,75,14,5,11,0,0.564,1,0,brute_force
56,55,12,8,3,0,0.363,1,1,brute_force
10,276,115,26,6,3,0.187,1,1,suspicious_data_access
1,8,2,2,39,0,0.017,0,0,benign
0,18,2,3,36,0,0.025,0,0,benign
0,3,3,3,30,0,0.026,0,0,benign
0,24,2,2,30,0,0.002,0,0,benign
3,17,5,2,27,0,0.012,0,0,benign
1,18,2,4,15,0,0.014,0,0,benign
52,47,5,6,7,2,0.429,1,0,brute_force
0,19,3,6,17,0,0.019,0,0,benign
0,7,3,4,37,0,0.006,0,0,benign
6,152,14,13,16,1,0.241,1,1,reconnaissance
1,12,2,5,21,0,0.016,0,0,benign
0,12,3,6,39,0,0.014,0,0,benign
33,49,10,8,9,2,0.494,0,1,brute_force
15,141,34,29,13,1,0.14,1,1,reconnaissance
0,12,5,3,30,0,0.019,0,0,benign
23,44,12,8,7,0,0.515,0,0,brute_force
2,3,2,3,31,0,0.016,0,0,benign
5,354,81,38,4,3,0.12,1,1,suspicious_data_access
43,43,5,8,11,1,0.75,0,1,brute_force
0,14,1,5,26,1,0.007,0,0,benign
13,389,79,20,5,3,0.278,1,1,suspicious_data_access
0,19,3,3,34,0,0.003,0,0,benign
42,42,11,6,9,1,0.382,1,1,brute_force
42,60,6,7,7,2,0.411,1,0,brute_force
7,282,117,40,2,4,0.333,0,1,suspicious_data_access
0,8,5,6,38,0,0.037,0,0,benign
1,4,3,1,37,0,0.01,0,0,benign
0,11,3,5,19,0,0.012,1,0,benign
0,9,3,3,29,0,0.001,1,0,benign
14,312,122,21,5,3,0.206,1,1,suspicious_data_access
0,13,1,2,38,0,0.001,1,0,benign
0,7,3,6,35,0,0.017,0,0,benign
48,74,8,6,3,1,0.627,1,0,brute_force
5,255,130,42,2,3,0.381,0,1,suspicious_data_access
1,18,2,4,38,0,0.009,0,0,benign
7,319,71,33,5,2,0.31,1,1,suspicious_data_access
0,18,4,3,15,0,0.003,0,0,benign
33,32,4,7,9,1,0.434,1,0,brute_force
14,309,121,37,4,3,0.343,1,1,suspicious_data_access
8,60,35,13,20,1,0.182,1,1,reconnaissance
10,73,23,19,14,1,0.231,0,1,reconnaissance
0,18,4,4,36,1,0.006,0,0,benign
9,189,96,42,4,2,0.197,1,1,suspicious_data_access
5,208,93,29,7,4,0.354,1,1,suspicious_data_access
8,251,117,29,2,4,0.425,1,1,suspicious_data_access
2,7,5,3,32,0,0.045,0,0,benign
0,10,1,1,47,0,0.049,0,0,benign
0,9,4,5,34,0,0.04,0,0,benign
0,6,1,6,34,0,0.006,0,0,benign
0,13,3,2,29,0,0.001,0,0,benign
0,8,1,6,28,0,0.001,1,0,benign
12,160,12,17,23,1,0.176,1,1,reconnaissance
2,9,4,5,31,0,0.026,0,0,benign
0,12,6,5,30,0,0.022,0,0,benign
4,318,140,27,3,3,0.247,1,1,suspicious_data_access
9,210,99,33,6,3,0.405,1,1,suspicious_data_access
9,268,61,28,2,3,0.25,1,1,suspicious_data_access
63,25,10,6,11,1,0.618,1,0,brute_force
17,95,34,15,10,2,0.195,1,1,reconnaissance
1,11,5,5,16,0,0.004,0,0,benign
3,3,1,2,27,0,0.008,0,0,benign
0,12,5,3,19,0,0.001,0,0,benign
0,19,1,4,37,0,0.007,0,0,benign
0,15,3,5,30,0,0.019,0,0,benign
0,17,2,4,28,0,0.016,0,0,benign
14,99,8,20,11,2,0.269,1,1,reconnaissance
18,190,127,26,3,3,0.191,1,1,suspicious_data_access
1,17,3,5,27,0,0.005,0,0,benign
36,25,14,8,5,2,0.649,1,0,brute_force
0,10,1,2,25,0,0.016,0,0,benign
0,10,4,4,17,0,0.02,0,0,benign
1,17,1,3,34,0,0.01,0,0,benign
9,195,50,26,2,3,0.13,1,1,suspicious_data_access
10,178,39,20,10,2,0.153,1,1,reconnaissance
22,48,8,5,5,0,0.502,1,0,brute_force
10,281,103,22,5,2,0.382,1,1,suspicious_data_access
1,16,2,4,26,0,0.018,0,0,benign
0,20,2,5,39,0,0.004,0,0,benign
0,8,5,3,11,0,0.04,0,0,benign
15,245,60,20,2,3,0.176,1,1,suspicious_data_access
1,6,2,4,27,1,0.007,0,0,benign
6,320,110,23,3,3,0.316,1,1,suspicious_data_access
61,64,14,7,5,2,0.418,1,0,brute_force
0,7,3,2,30,0,0.021,0,0,benign
1,16,1,3,19,0,0.043,0,0,benign
1,13,1,4,24,0,0.047,0,0,benign
0,3,3,4,31,0,0.007,0,0,benign
43,54,9,9,4,1,0.713,0,1,brute_force
0,4,3,1,40,0,0.026,0,0,benign
16,164,10,15,17,1,0.21,1,1,reconnaissance
0,15,2,6,41,0,0.008,0,0,benign
1,14,1,7,26,1,0.02,0,0,benign
41,53,14,9,9,0,0.648,1,0,brute_force
1,10,4,5,30,1,0.005,0,0,benign
0,3,2,1,37,0,0.02,0,0,benign
1,21,4,3,38,0,0.0,0,0,benign
2,13,3,2,20,1,0.0,0,0,benign
0,11,4,4,37,0,0.045,0,0,benign
7,155,16,17,13,1,0.162,0,1,reconnaissance
0,3,3,2,14,0,0.011,0,0,benign
8,174,27,23,17,1,0.227,0,1,reconnaissance
11,92,25,15,16,2,0.166,0,1,reconnaissance
10,142,19,17,14,1,0.171,0,1,reconnaissance
0,15,4,2,29,0,0.009,0,0,benign
0,15,5,3,32,0,0.018,0,0,benign
0,16,3,7,43,0,0.045,0,0,benign
2,10,3,6,37,0,0.008,0,0,benign
0,14,3,5,20,0,0.006,0,0,benign
13,114,34,17,16,2,0.142,1,1,reconnaissance
0,16,3,5,27,0,0.021,0,0,benign
0,8,1,4,39,0,0.009,0,0,benign
0,17,3,4,25,0,0.007,0,0,benign
2,11,1,4,21,0,0.002,0,0,benign
0,3,5,5,28,0,0.011,0,0,benign
15,331,72,28,4,4,0.393,1,1,suspicious_data_access
0,7,2,5,40,0,0.02,0,0,benign
10,293,133,37,6,2,0.308,1,1,suspicious_data_access
10,283,91,28,3,3,0.312,1,1,suspicious_data_access
0,8,2,2,25,0,0.06,0,0,benign
5,113,19,13,22,1,0.156,0,1,reconnaissance
7,146,13,12,9,1,0.198,1,1,reconnaissance
15,106,8,15,15,1,0.232,1,1,reconnaissance
0,13,3,4,20,0,0.013,0,0,benign
40,65,10,5,7,2,0.427,0,1,brute_force
0,14,6,2,39,0,0.034,0,0,benign
7,105,14,21,11,1,0.135,1,1,reconnaissance
0,14,5,7,21,0,0.008,0,0,benign
0,22,4,1,38,0,0.01,0,0,benign
0,9,3,5,29,0,0.015,0,0,benign
10,124,25,22,16,1,0.08,1,1,reconnaissance
33,60,10,7,10,2,0.444,1,0,brute_force
0,23,2,4,38,0,0.026,0,0,benign
0,10,3,2,35,0,0.001,0,0,benign
0,4,2,4,29,0,0.002,0,0,benign
0,13,3,5,29,0,0.0,0,0,benign
0,15,2,2,11,0,0.014,0,0,benign
2,9,1,5,27,0,0.022,0,0,benign
0,19,1,4,32,1,0.022,0,0,benign
2,6,4,5,54,0,0.013,0,0,benign
0,10,4,2,29,0,0.006,0,0,benign
44,76,20,5,8,0,0.319,1,0,brute_force
0,7,2,1,50,0,0.002,0,0,benign
0,11,1,5,39,0,0.009,0,0,benign
61,42,11,7,8,1,0.28,1,1,brute_force
10,365,137,21,6,4,0.375,1,1,suspicious_data_access
18,170,14,17,14,1,0.223,1,1,reconnaissance
60,59,17,11,10,2,0.508,1,1,brute_force
13,160,104,34,6,3,0.216,1,1,suspicious_data_access
22,57,19,9,11,1,0.529,1,0,brute_force
1,18,3,4,33,0,0.006,0,0,benign
2,14,4,5,32,0,0.001,0,0,benign
2,11,3,4,18,0,0.041,0,0,benign
17,317,50,30,5,3,0.366,1,1,suspicious_data_access
0,14,3,3,20,0,0.004,0,0,benign
11,261,140,24,6,3,0.289,0,1,suspicious_data_access
8,143,18,18,5,2,0.181,0,1,reconnaissance
0,6,5,3,22,0,0.011,0,0,benign
3,5,2,3,39,0,0.06,0,0,benign
0,11,1,2,28,0,0.027,0,0,benign
1,14,3,7,35,0,0.044,0,0,benign
14,295,107,23,7,3,0.364,1,1,suspicious_data_access
0,8,3,2,23,0,0.004,0,0,benign
54,73,9,3,11,1,0.467,1,1,brute_force
3,12,3,3,40,0,0.01,0,0,benign
60,44,5,7,5,0,0.437,1,0,brute_force
8,73,10,11,15,1,0.254,1,1,reconnaissance
59,33,11,10,7,1,0.558,0,0,brute_force
8,146,31,10,14,1,0.093,1,1,reconnaissance
1,3,1,1,41,0,0.018,0,0,benign
11,129,8,24,14,2,0.17,1,1,reconnaissance
0,4,3,4,38,0,0.029,0,0,benign
0,8,4,4,26,0,0.006,0,0,benign
3,87,18,13,10,1,0.163,1,1,reconnaissance
0,9,1,6,19,0,0.011,0,0,benign
43,39,9,8,6,1,0.573,1,1,brute_force
58,57,12,8,6,1,0.378,1,0,brute_force
1,13,4,4,37,0,0.034,0,0,benign
0,6,6,5,36,0,0.043,0,0,benign
33,37,12,6,7,1,0.499,1,0,brute_force
0,7,1,2,38,0,0.011,0,0,benign
6,148,33,21,12,2,0.133,1,1,reconnaissance
1,19,5,4,35,0,0.012,1,0,benign
0,16,3,4,29,0,0.004,0,0,benign
57,74,14,10,10,2,0.52,0,0,brute_force
6,157,18,15,10,1,0.24,1,1,reconnaissance
0,11,2,3,25,0,0.006,0,0,benign
0,10,3,4,29,0,0.01,0,0,benign
1,4,5,4,22,0,0.017,0,0,benign
1,6,3,3,37,0,0.047,0,0,benign
52,75,7,5,6,1,0.569,1,0,brute_force
0,9,2,4,12,0,0.002,0,0,benign
0,8,3,4,31,1,0.007,0,0,benign
0,12,3,2,36,0,0.011,0,0,benign
5,249,139,33,6,4,0.352,1,1,suspicious_data_access
3,8,2,3,13,0,0.044,0,0,benign
0,6,1,4,25,0,0.001,0,0,benign
0,13,3,1,35,0,0.0,0,0,benign
0,15,5,3,47,0,0.012,1,0,benign
4,336,87,18,9,2,0.234,1,1,suspicious_data_access
34,76,9,8,6,1,0.602,1,1,brute_force
0,17,4,1,39,0,0.014,0,0,benign
1,17,1,2,10,0,0.007,0,0,benign
0,11,3,2,40,0,0.013,0,0,benign
39,41,10,8,5,1,0.496,0,0,brute_force
8,227,80,19,5,3,0.211,0,1,suspicious_data_access
12,288,63,26,9,3,0.296,1,1,suspicious_data_access
61,35,8,5,10,0,0.659,1,0,brute_force
13,185,19,12,13,2,0.08,1,1,reconnaissance
1,7,3,5,22,0,0.023,0,0,benign
0,13,1,4,49,0,0.007,0,0,benign
1,3,4,3,31,0,0.002,0,0,benign
0,19,4,4,31,0,0.046,0,0,benign
4,225,170,18,5,4,0.22,1,1,suspicious_data_access
2,7,2,2,25,0,0.045,1,0,benign
12,83,8,26,16,2,0.167,1,1,reconnaissance
0,3,4,2,32,0,0.02,0,0,benign
52,58,13,3,8,1,0.506,1,0,brute_force
2,10,1,2,25,0,0.021,0,0,benign
7,136,33,12,15,2,0.207,0,1,reconnaissance
0,12,2,2,18,0,0.015,0,0,benign
0,11,1,4,31,0,0.028,0,0,benign
3,13,1,2,27,0,0.045,0,0,benign
0,20,5,4,25,0,0.004,0,0,benign
0,3,2,5,32,1,0.014,0,0,benign
0,14,4,5,23,0,0.003,0,0,benign
0,10,3,3,38,0,0.043,0,0,benign
2,15,3,3,30,1,0.002,0,0,benign
0,6,2,6,34,0,0.013,0,0,benign
0,17,3,5,36,0,0.026,0,0,benign
0,4,2,1,31,1,0.035,0,0,benign
2,9,3,2,31,0,0.06,0,0,benign
0,6,3,5,27,0,0.017,0,0,benign
49,42,4,6,7,0,0.28,1,0,brute_force
46,38,20,8,4,0,0.403,1,0,brute_force
46,56,5,5,5,1,0.353,0,1,brute_force
0,25,2,1,37,0,0.016,0,0,benign
5,150,24,17,12,1,0.169,1,1,reconnaissance
27,57,8,5,7,1,0.376,1,1,brute_force
63,49,4,7,4,0,0.413,0,0,brute_force
4,184,22,20,13,2,0.181,1,1,reconnaissance
1,9,4,1,35,0,0.001,0,0,benign
1,10,3,5,15,1,0.015,0,0,benign
3,20,2,4,18,0,0.006,0,0,benign
9,91,36,20,10,1,0.121,1,1,reconnaissance
0,5,1,4,34,0,0.013,0,0,benign
4,290,51,33,2,2,0.266,1,1,suspicious_data_access
22,63,7,3,9,0,0.47,0,1,brute_force
0,6,1,6,30,0,0.028,0,0,benign
0,12,2,4,10,0,0.04,0,0,benign
0,9,6,6,19,0,0.001,0,0,benign
1,9,1,5,25,0,0.025,0,0,benign
8,299,92,25,5,2,0.284,0,1,suspicious_data_access
12,106,29,20,10,1,0.273,0,1,reconnaissance
0,19,1,4,31,0,0.003,0,0,benign
2,10,2,5,36,0,0.027,0,0,benign
0,9,2,1,32,0,0.01,0,0,benign
55,46,4,5,5,2,0.623,1,1,brute_force
0,6,3,2,28,1,0.01,0,0,benign
28,46,13,5,9,1,0.433,1,0,brute_force
10,277,164,41,6,2,0.233,1,1,suspicious_data_access
10,160,10,20,14,1,0.188,1,1,reconnaissance
37,46,5,7,5,0,0.616,1,0,brute_force
2,5,1,4,30,0,0.017,0,0,benign
13,120,8,15,16,1,0.121,1,1,reconnaissance
11,294,146,45,2,3,0.292,1,1,suspicious_data_access
11,178,12,15,14,2,0.224,1,1,reconnaissance
11,229,78,33,7,4,0.278,1,1,suspicious_data_access
7,252,69,37,3,3,0.25,1,1,suspicious_data_access
15,140,32,10,15,1,0.154,0,1,reconnaissance
0,19,2,5,31,0,0.018,0,0,benign
0,8,5,2,29,0,0.022,0,0,benign
22,48,6,4,11,0,0.34,0,0,brute_force
0,19,1,4,32,0,0.007,0,0,benign
4,352,111,26,9,3,0.148,1,1,suspicious_data_access
1,11,4,3,37,1,0.001,0,0,benign
0,11,2,4,28,1,0.001,1,0,benign
0,16,1,4,29,0,0.007,0,0,benign
13,109,19,13,17,1,0.208,0,1,reconnaissance
12,227,50,28,5,3,0.271,1,1,suspicious_data_access
53,56,9,3,5,2,0.572,1,0,brute_force
0,20,2,3,32,0,0.012,0,0,benign
1,5,1,4,27,0,0.009,0,0,benign
2,16,2,4,22,0,0.017,0,0,benign
3,83,21,19,10,1,0.193,1,1,reconnaissance
45,83,16,8,12,0,0.479,1,0,brute_force
0,10,2,6,33,0,0.004,0,0,benign
0,9,4,5,46,0,0.017,0,0,benign
0,4,3,3,18,0,0.005,0,0,benign
1,6,3,2,54,1,0.014,0,0,benign
0,10,3,5,20,0,0.002,0,0,benign
59,43,5,6,15,1,0.359,1,0,brute_force
8,227,101,26,5,2,0.209,1,1,suspicious_data_access
13,281,73,41,5,3,0.223,1,1,suspicious_data_access
41,38,5,4,6,2,0.372,0,0,brute_force
2,14,4,6,49,0,0.011,0,0,benign
1,12,1,2,52,0,0.009,0,0,benign
0,5,3,4,36,0,0.012,0,0,benign
0,16,1,3,23,0,0.0,0,0,benign
0,9,3,3,25,0,0.009,0,0,benign
0,11,2,3,22,0,0.009,0,0,benign
2,5,4,6,17,0,0.003,0,0,benign
0,9,5,5,23,0,0.037,0,0,benign
0,6,4,5,36,0,0.001,0,0,benign
0,13,4,5,26,0,0.001,0,0,benign
11,150,20,22,16,1,0.162,1,1,reconnaissance
0,6,3,4,40,0,0.0,1,0,benign
9,330,99,27,3,3,0.218,1,1,suspicious_data_access
17,380,122,33,6,3,0.359,0,1,suspicious_data_access
58,75,18,6,8,1,0.53,1,0,brute_force
